Catch Date,District Name,Stat Area,Deliveries,Chinook Count,Sockeye Count,Coho Count,Pink Count,Chum Count,Total Count,Catch Date,Year
2018-06-18,322 - Egegik,32200 - Egegik Drift,61,0,1504,0,0,0,1504,2018-06-18,2018
2018-06-18,322 - Egegik,Egegik Set,91,0,2417,0,0,0,2417,2018-06-18,2018
2018-06-18,324 - Naknek-Kvichak,32400 - Naknek-Kvichak Drift,,,,,,,,2018-06-18,2018
2018-06-18,324 - Naknek-Kvichak,Naknek-Kvichak Set,,,,,,,,2018-06-18,2018
2018-06-18,325 - Nushagak,Nushagak Set,,,,,,,,2018-06-18,2018
2018-06-18,326 - Togiak,Togiak Drift,,,,,,,,2018-06-18,2018
2018-06-18,326 - Togiak,Togiak Set,6,2,8,0,0,49,59,2018-06-18,2018
2018-06-17,325 - Nushagak,Nushagak Set,,,,,,,,2018-06-17,2018
2018-06-16,325 - Nushagak,Nushagak Set,,,,,,,,2018-06-16,2018
2018-06-15,322 - Egegik,32200 - Egegik Drift,,,,,,,,2018-06-15,2018
2018-06-15,322 - Egegik,Egegik Set,,,,,,,,2018-06-15,2018
2018-06-15,325 - Nushagak,Nushagak Set,,,,,,,,2018-06-15,2018
2018-06-14,321 - Ugashik,Ugashik Set,,,,,,,,2018-06-14,2018
2018-06-14,322 - Egegik,32200 - Egegik Drift,16,0,841,0,0,0,841,2018-06-14,2018
2018-06-14,322 - Egegik,Egegik Set,31,0,716,0,0,6,722,2018-06-14,2018
2018-06-14,325 - Nushagak,Nushagak Set,,,,,,,,2018-06-14,2018
2018-06-13,321 - Ugashik,Ugashik Set,,,,,,,,2018-06-13,2018
2018-06-13,322 - Egegik,Egegik Set,,,,,,,,2018-06-13,2018
2018-06-13,325 - Nushagak,Nushagak Set,,,,,,,,2018-06-13,2018
2018-06-12,321 - Ugashik,32100 - Ugashik Drift,,,,,,,,2018-06-12,2018
2018-06-12,322 - Egegik,32200 - Egegik Drift,,,,,,,,2018-06-12,2018
